address,amount
juno1d9n2e8qfrl54gnkngmhm8aycqgq3d2aqjnc20m,600
juno1rxaf5qqupxmr7sdqtrudq29th6x7mfyaeuxx9n,600
juno1skunerv2a8x07mtxz4zg0ycxf6hpzym3tj4we8,600
juno1qtjvq99uwlqstqsz8m6t845pdstmltqyenpdlk,600
juno1mg39qwr5eqa0ef2ps2hw9j7pdrcyltvf3qujfv,600
juno1fsqqqqjthundmdc6g0kjpllvs8fueky7p2a7j4,600
juno1sctdxplf55txfd73q59ww5tskjfutj23f0n726,600
juno13der87lypd8nfftutjpukckssl794aarzr4uhe,600
juno1m52jkan5gpdkaf39s83y8qyd85klv49wam3935,600
juno1fk0lfxc2rzlujn0ch7meyvvk3pfar27ahq73zh,600
juno1kfx2qqd2pxlw2z87a89zlnzf9ekch6ermynqle,600
juno1jlzfg3tp36hc2kjgnx7fltnz8r82qm70mjmzp8,600
juno1y6sejva577mfss8ua59jcfh3w62fluj0tws56x,600
juno10zw7kz4w6s23a9fazp0hcgkk29r94azfpknc5w,600
juno1wfrpmy89r7jz0zjd8vt54fk6ysmsgmp4mnewxv,600
